X,Y,İşl__kurum,il,ilçe,İst__Adı,No,P25_No,CKS_Boylam,CKS_Enlem,x_utm_ed50,y_utm_ed50,Rasat_tipi,Kot,Açılış_Tar,Kapanış_Ta,İst__Durum,Ocak_Ort_,Şubat_Ort_,Mart_Ort_,Nisan_Ort_,Mayıs_Ort_,Haziran_Or,Temmuz_Ort,Ağustos_Or,Eylül_Ort_,Ekim_Ort_,Kasım_Ort_,Aralık_Ort,Yıllık_Top,Ocak_Ort1,Şubat_Ort1,Mart_Ort1,Nisan_Ort1,Mayıs_Ort1,Haziran__1,Temmuz_O_1,Ağustos__1,Eylül_Ort1,Ekim_Ort1,Kasım_Ort1,Aralık_O_1,Yıllık_Ort,Ocak_PET__,Şubat_PET,Mart_PET__,Nisan_PET,Mayıs_PET,Haziran_PE,Temmuz_PET,Ağustos_PE,Eylül_PET,Ekim_PET__,Kasım_PET,Aralık_PET,Yıllık_T_1,Ocak_Gerçe,Şubat_Gerç,Mart_Gerçe,Nisan_Gerç,Mayıs_Gerç,Haziran_Ge,Temmuz_Ger,Ağustos_Ge,Eylül_Gerç,Ekim_Gerçe,Kasım_Gerç,Aralık_Ger,Yıllık_T_2,icon_url
28.4665909954969,38.7500654853683,MGM,Manisa,Demirci,Borlu,"2425",,38.750000,28.466667,627491.985177,4290241.865220,Yağış,250.000000,1963.000000,1982.000000,Kapalı,82.300000,67.988889,59.944444,44.977778,33.661111,26.327778,5.694444,6.955556,19.616667,39.677778,54.861111,99.072222,181.372222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
27.2165905852213,38.4667329475525,MGM,İzmir,Bornova,Bornova,"17790",,38.466667,27.216667,518942.867355,4257803.176410,,27.000000,1929.000000,2005.000000,Açık,108.782692,93.248077,69.682692,48.473077,32.136538,8.007692,3.448077,2.125000,17.426923,45.834615,86.890385,118.211538,634.267308,8.069811,8.577358,11.018868,15.215094,20.277358,25.058491,27.873585,27.232075,22.886792,18.052830,13.154717,9.852830,17.272484,12.788418,14.141544,27.512828,53.254335,101.099441,150.560497,184.676967,165.597086,106.848022,63.695580,31.101467,18.040720,929.316905,12.788418,14.141544,27.512828,53.254335,101.099441,34.263532,3.448077,2.125000,17.426923,45.834615,31.101467,18.040720,361.036900,./0.png
28.1165906305162,38.3333993014201,DSİ,İzmir,Ödemiş,Bozdağ,05-021,L20a4,38.333333,28.116667,597638.116584,4243576.054490,,1150.000000,1961.000000,0.000000,Açık,219.594000,184.750000,136.206000,100.358400,63.688000,27.408000,9.544000,6.974000,25.106000,64.398000,151.874000,249.864000,1239.764400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
28.8332571934951,38.0500658556083,MGM,Denizli,Buldan,Buldan,"6487",,38.050000,28.833333,660901.209264,4213134.943340,,600.000000,1964.000000,1993.000000,Kapalı,128.475862,99.531034,79.151724,47.196552,35.300000,18.106897,11.675862,7.786207,13.579310,35.613793,77.713793,141.137931,695.268966,4.457143,5.700000,9.028571,14.242857,17.828571,23.214286,26.400000,26.457143,22.257143,16.285714,9.485714,5.257143,15.051190,6.479163,9.516492,24.482040,54.496727,87.498135,134.962381,167.370964,157.205899,105.770243,59.024462,21.619711,8.254387,836.680604,6.479163,9.516492,24.482040,54.496727,87.498135,58.608587,11.675862,7.786207,13.579310,35.613793,21.619711,8.254387,339.610414,./0.png
28.8832572862327,38.1667324098282,DSİ,Denizli,Buldan,Buldan Barajı,05-027,L21c1,38.166667,28.883333,665025.967639,4226169.092670,,470.000000,1967.000000,0.000000,Açık,60.916667,62.571429,51.364286,46.847619,29.566667,19.126190,8.240476,7.321429,10.700000,36.254762,53.416667,75.580952,461.907143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
27.5499238376287,38.2833995998465,DSİ,İzmir,Bayındır,Çınardibi,05-015,L19a4,38.283333,27.550000,548143.763644,4237581.302330,,705.000000,1961.000000,0.000000,Açık,155.579487,134.171795,105.312821,77.923077,47.189744,11.048718,3.735897,2.056410,20.671795,53.202564,117.510256,198.784615,927.187179,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
27.0999241111806,38.7500661194788,DSİ,İzmir,Aliağa,Çıtakköy,04-006,K18a4,38.750000,27.100000,508730.825583,4289225.593570,,150.000000,1962.000000,1997.000000,Kapalı,115.654839,94.758065,79.509677,52.977419,29.729032,8.964516,4.809677,1.045161,10.864516,35.741935,86.583871,144.174194,664.812903,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
27.0143239185361,38.5127663391412,MGM,İzmir,Çiğli,Çiğli Meydan,"17218",,38.512700,27.014400,501296.605847,4262889.020850,Askeri,5.000000,1937.000000,0.000000,Açık,98.050000,113.350000,64.775000,32.512500,19.175000,17.087500,0.175000,0.125000,14.787500,56.450000,60.600000,96.075000,194.125000,8.037500,8.406250,10.825000,15.256250,19.956250,24.712500,27.068750,26.543750,22.787500,17.881250,12.837500,9.843750,17.013021,13.278525,14.229093,27.541570,54.644935,99.220405,147.131338,174.819793,157.947167,106.595498,63.517713,30.556806,18.695417,908.178259,13.278525,14.229093,27.541570,54.644935,97.042565,17.087500,0.175000,0.125000,14.787500,56.450000,30.556806,18.695417,344.613911,./0.png
27.3832571683403,38.3167329844754,MGM,İzmir,Torbalı,Dağkızılca,"5962",,38.316667,27.383333,533551.814732,4241206.398440,,200.000000,1968.000000,1997.000000,,139.346429,121.439286,93.914286,59.589286,36.014286,14.121429,7.685714,3.310714,15.521429,46.064286,113.439286,186.350000,836.796429,6.758333,6.675000,9.075000,13.416667,18.025000,23.016667,25.891667,25.991667,22.216667,16.866667,11.175000,7.916667,15.585417,12.104410,11.720434,23.814963,48.374026,87.898278,132.456295,162.037666,152.631673,104.814479,61.505454,27.349062,15.331123,840.037864,12.104410,11.720434,23.814963,48.374026,87.898278,62.237437,7.685714,3.310714,15.521429,46.064286,27.349062,15.331123,361.411875,./0.png
27.1332569796102,38.1167332495661,MGM,İzmir,Menemen,Değirmendere,"6294",,38.116667,27.133333,511728.925105,4218953.940490,,200.000000,1964.000000,1997.000000,Kapalı,186.867742,137.329032,106.390323,55.919355,30.303226,10.429032,4.135484,1.774194,8.803226,48.348387,126.296774,217.145161,933.741935,6.655556,7.477778,9.922222,14.088889,18.033333,23.155556,26.344444,26.088889,22.044444,16.922222,10.788889,7.888889,15.784259,11.471698,13.762909,27.025465,51.740747,87.260267,133.383438,166.678103,153.499262,103.076296,61.263474,25.337418,14.866399,849.365477,11.471698,13.762909,27.025465,51.740747,87.260267,53.471991,4.135484,1.774194,8.803226,48.348387,25.337418,14.866399,347.998185,./0.png
